Indian House - Boat Quay ,'latitude': 1.2869870454508168, 'longitude': 103.84938902597231
Mirch Masalah - Boat Quay ,'latitude': 1.2863, 'longitude': 103.84962
D'Spring Flowers - Crasco Building🏍 ,'latitude': 1.295313064, 'longitude': 103.8554058
Watsons - Funan ,'latitude': 1.2912667833333333, 'longitude': 103.8504891
Pagi Floral - Crasco Building🏍 ,'latitude': 1.295313064, 'longitude': 103.8554058
C-Mart - High Street Plaza🏍 ,'latitude': 1.290551798775176, 'longitude': 103.84940929336389
Jones Booze And Drinks - Oxley Tower🏍 ,'latitude': 1.2786616815030822, 'longitude': 103.84843637779 639
JonesMart - High Street Plaza🏍 ,'latitude': 1.2908608824785464, 'longitude': 103.84941059663592
Deen Indian Muslim Food - Everton Park ,'latitude': 1.2768633333333335, 'longitude': 103.83898311869902
Bang Bang Burritos™ - Robinson Suites ,'latitude': 1.28090311, 'longitude': 103.849731
Mirch Masalah - Boat Quay ,'latitude': 1.2863, 'longitude': 103.84962
D'Spring Flowers - Crasco Building🏍 ,'latitude': 1.295313064, 'longitude': 103.8554058
Watsons - Funan ,'latitude': 1.2912667833333333, 'longitude': 103.8504891
Pagi Floral - Crasco Building🏍 ,'latitude': 1.295313064, 'longitude': 103.8554058
C-Mart - High Street Plaza🏍 ,'latitude': 1.290551798775176, 'longitude': 103.84940929336389
Jones Booze And Drinks - Oxley Tower🏍 ,'latitude': 1.2786616815030822, 'longitude': 103.84843637779 639
JonesMart - High Street Plaza🏍 ,'latitude': 1.2908608824785464, 'longitude': 103.84941059663592
Deen Indian Muslim Food - Everton Park ,'latitude': 1.2768633333333335, 'longitude': 103.83898311869902
Bang Bang Burritos™ - Robinson Suites ,'latitude': 1.28090311, 'longitude': 103.849731
Grand Cru Wine Concierge - The Fullerton Hotel [Islandwide Delivery] ,'latitude': 1.2867261057218304, 'longitude': 103.85285014824727
Bee Cheng Hiang - Raffles City Shopping Centre ,'latitude': 1.2936419489453876, 'longitude': 103.853721425
An Acai Affair - 313 @ Somerset ,'latitude': 1.3010087, 'longitude': 103.838487
Paulaner Brauhaus Singapore - Millenia Walk ,'latitude': 1.2932663065852108, 'longitude': 103.85824260000001
Golden Moments - Selegie Court🏍 ,'latitude': 1.303024996, 'longitude': 103.8498698
Home Of Briyani @ Heart Of The City - Hoe Chiang Road ,'latitude': 1.27396, 'longitude': 103.84252
The Ice Cream Store - Outram Road ,'latitude': 1.286791, 'longitude': 103.8345088
IstanBlue Meze & Grill - Baghdad Street ,'latitude': 1.3011507, 'longitude': 103.8596713
Canadian Pizza - 111 Somerset ,'latitude': 1.300457, 'longitude': 103.837583
KFC - Cathay Orchard Cineleisure ,'latitude': 1.3013932, 'longitude': 103.83657744255561
Tanyu - 313 @ Somerset ,'latitude': 1.3009511, 'longitude': 103.8384447
KBG3 - Mr Tom Kum Yung - Lim Teck Kim Road ,'latitude': 1.27361, 'longitude': 103.84248
Sally's Vietnam Food - Tanjong Pagar Complex ,'latitude': 1.27225, 'longitude': 103.842384
Suju Japanese Restaurant - Mandarin Gallery ,'latitude': 1.3020824, 'longitude': 103.83664522847893
Caffe Pralet - Eng Hoon Mansions ,'latitude': 1.283549, 'longitude': 103.83443
Tandoori Restaurant - South Bridge Road ,'latitude': 1.287651, 'longitude': 103.848166
Jollibean Vegan - Raffles Place MRT Station ,'latitude': 1.283177540378955, 'longitude': 103.85130784036153
Beyond Pancakes - Marina Square ,'latitude': 1.290952201228217, 'longitude': 103.85749984
Chura Sushi Bar - Suntec City Mall ,'latitude': 1.292883, 'longitude': 103.856836
Haagen-Dazs - Funan ,'latitude': 1.29128860338776, 'longitude': 103.850389532962
Cellarbration - Marina Square ,'latitude': 1.2919196, 'longitude': 103.8577312
Pick & Go - Singapore Management University ,'latitude': 1.295921, 'longitude': 103.850351
